MMSI,Timestamp,Latitude,Longitude,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,Latitude_next,Longitude_next
1056261,2021-11-14 00:00:00,24.56227,-81.80312,0.0,254.5,59,CHAMPAGNE CHER,IMO1056261,WDC6418,10.0,0.0,0.0,0.0,2.5,10,A,24.56227,-81.80312
191283710,2021-11-14 00:00:08,41.64435,-70.92108,0.0,251.4,511,PYXIS,,UNKNOWN,30.0,7.0,30.0,10.0,0.0,30,A,41.64435,-70.92108
210043000,2021-11-14 00:00:11,45.98442,-124.51808,2.2,75.0,126,EFRAIM A,IMO9520778,5BZL2,70.0,0.0,229.0,32.0,14.4,70,A,45.99390363697147,-124.46714351895471
212348000,2021-11-14 00:00:09,33.7083,-118.6707,0.7,94.0,147,HYUNDAI HONGKONG,IMO9305661,5BZL,70.0,0.0,303.0,40.0,14.0,71,A,33.70748672285426,-118.6567190260694
212438000,2021-11-14 00:01:10,37.19511,-76.11126,0.0,201.1,329,PEDHOULAS CHERRY,IMO9738040,5BFD4,70.0,1.0,229.0,9.0,,70,A,37.19511,-76.11126
215809000,2021-11-14 00:00:03,40.48755,-73.26726,4.3,264.6,268,ATLANTIC SAIL,IMO9670585,9HA5297,74.0,0.0,296.0,37.0,10.5,74,A,40.48081011548765,-73.36100900447146
220563000,2021-11-14 00:00:05,35.1382,-126.55508,11.5,151.0,149,TORM MOSELLE,IMO9254240,OYNX2,80.0,0.0,182.0,32.0,12.7,80,A,34.97067751417473,-126.44152769915945
229074000,2021-11-14 00:00:00,26.10341,-79.83676,15.2,80.9,87,CELEBRITY REFLECTION,IMO9506459,9HA3047,60.0,0.0,319.0,38.0,8.6,60,A,26.143449712159462,-79.55839041380841
232024773,2021-11-14 00:00:06,34.48993,-120.92462,19.2,317.4,317,HYUNDAI MARS,IMO9725122,MGGA6,74.0,0.0,324.0,48.0,14.3,74,A,34.72532234614819,-121.18723538771614
241209000,2021-11-14 00:00:06,46.20134,-123.81985,0.1,56.3,72,ALPHA VISION,IMO9597202,SVBO8,70.0,1.0,229.0,32.0,14.5,70,A,46.20226411759299,-123.81784797249686
246865000,2021-11-14 00:00:13,47.81375,-86.64411,13.7,267.1,268,AVONBORG,IMO9466362,PCOF,70.0,0.0,142.0,21.0,9.7,79,A,47.8022057294875,-86.98345882817564
248128000,2021-11-14 00:00:53,28.93653,-95.33377,0.0,210.5,124,SEASURFER,IMO9763033,9HA4521,80.0,5.0,27.0,9.0,,80,A,28.93653,-95.33377
248729000,2021-11-14 00:00:02,39.19905,-73.85903,18.5,178.6,181,NORDMARSH,IMO9802499,9HA4782,70.0,0.0,194.0,32.0,9.2,71,A,38.891016410011034,-73.84931565646215
249474000,2021-11-14 00:00:03,48.33667,-123.36388,0.1,177.6,59,ZIM KINGSTON,IMO9389693,9HSZ9,70.0,3.0,260.0,32.0,12.6,71,A,48.335005917350564,-123.36377508013545
249652000,2021-11-14 00:00:01,18.55414,-65.72564,11.1,268.8,269,JS INEOS INDEPENDENC,IMO9744960,9HA4327,80.0,0.0,27.0,9.0,,89,A,18.5502682629791,-65.9206085990671
255805450,2021-11-14 00:00:00,18.58319,-66.17065,14.9,326.4,332,RORO FEEDER I,IMO9198719,CQLY,70.0,0.0,142.0,21.0,5.5,70,A,18.78989273138106,-66.31553709730565
259959000,2021-11-14 00:00:01,40.99751,-70.53249,1.3,234.1,253,ARTEMIS ANGLER,IMO9181467,LAGU7,90.0,0.0,65.0,14.0,7.1,99,A,40.98481382645433,-70.55572862551581
303457000,2021-11-14 00:00:05,42.93482,-87.73369,0.0,215.9,296,LAURA L VANENKEVORT,IMO8875310,WDK6830,52.0,0.0,210.0,22.0,7.0,52,A,42.93482,-87.73369
303681000,2021-11-14 00:00:06,21.00589,-157.0369,8.3,94.6,94,MOUNT DRUM,,WDJ7294,31.0,11.0,27.0,9.0,,32,A,20.99480329107888,-156.8892959304145
